"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Occurrence","species.ID","species.inat.ID","species.common","species.science","phylum.inat.ID","phylum.common","phylum.science","class.inat.ID","class.common","class.science","order.inat.ID","order.common","order.science","family.inat.ID","family.common","family.science","genus.inat.ID","genus.common","genus.science","kingdom.inat.ID","kingdom.common","kingdom.science"
"Acacia retinodes","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","98210","98210","Silver Wattle","Acacia retinodes","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
"Acacia sclerosperma","Plant","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","243732","243732","Plants","Acacia sclerosperma","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
"Acacia verticillata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Present","11714","11714","Prickly Moses","Acacia verticillata","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
"Acaena pinnatifida","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Acaena",11,10,0,0,5,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,6,1,3,0,"Present","61230","61230","Argentinian biddy biddy","Acaena pinnatifida","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47132","Roses and allies","Rosales","47148","Rose family","Rosaceae","61229","Bidibid","Acaena",47126,"Plants","Plantae"
"Acantha spirata","Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Halecia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Animals","Animalia"
"Acanthinucella punctulata","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Acanthinucella",2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Present","716497","716497","Spotted Unicorn","Acanthinucella punctulata","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","48289","Gastropods","Neogastropoda","50766","Murex Snails","Muricidae","129945","Murex Snails","Acanthinucella",1,"Animals","Animalia"
"Acanthinucella spirata","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Acanthinucella",2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Present","2301646","2301646","Angular Unicorn","Acanthinucella spirata","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","48289","Gastropods","Neogastropoda","50766","Murex Snails","Muricidae","129945","Murex Snails","Acanthinucella",1,"Animals","Animalia"
"Acanthocyclops robustus","Invertebrate","Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","345066","345066","Animals","Acanthocyclops robustus","47120","Arthropods","Arthropoda",NA,NA,NA,"85514","Cyclopoid Copepods","Cyclopoida","85718","Cyclopoid Copepods","Cyclopidae","86178","Cyclopoid Copepods","Acanthocyclops",1,"Animals","Animalia"
"Acanthodoris hudsoni","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"783","783","Hudson's Horned Dorid","Acanthodoris hudsoni","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47113","Nudibranchs","Nudibranchia","47468","Nudibranchs","Onchidorididae","47467","Nudibranchs","Acanthodoris",1,"Animals","Animalia"
"Acanthodoris lutea","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",28,11,2,2,0,0,4,9,7,1,0,0,1,2,0,1,0,1,0,0,0,5,10,8,3,NA,"2384","2384","Orange-peel Doris","Acanthodoris lutea","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47113","Nudibranchs","Nudibranchia","47468","Nudibranchs","Onchidorididae","47467","Nudibranchs","Acanthodoris",1,"Animals","Animalia"
"Acanthodoris nanaimoensis","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Present","964","964","Nanaimo Horned Dorid","Acanthodoris nanaimoensis","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47113","Nudibranchs","Nudibranchia","47468","Nudibranchs","Onchidorididae","47467","Nudibranchs","Acanthodoris",1,"Animals","Animalia"
"Acanthodoris rhodoceras","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",25,10,1,0,0,0,1,13,9,0,0,0,0,1,0,0,0,0,0,0,1,0,9,14,1,NA,"966","966","Black-tipped Spiny Doris","Acanthodoris rhodoceras","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47113","Nudibranchs","Nudibranchia","47468","Nudibranchs","Onchidorididae","47467","Nudibranchs","Acanthodoris",1,"Animals","Animalia"
"Acanthogobius flavimanus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Acanthogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","69479","69479","Yellowfin Goby","Acanthogobius flavimanus","2","Chordates","Chordata","47178","Ray-finned Fishes","Actinopterygii","47233","Perch-like Fishes","Perciformes","47308","Gobies","Gobiidae","86182","Gobies","Acanthogobius",1,"Animals","Animalia"
"Acanthomintha duttonii","Plant","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Acanthomintha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","147281","147281","San Mateo thornmint","Acanthomintha duttonii","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","48151","Dicots","Lamiales","48623","Mint family","Lamiaceae","57113","Mint family","Acanthomintha",47126,"Plants","Plantae"
"Acanthoparyphium spinullsum","Invertebrate","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Echinostomatidae","Acanthoparyphium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","339202","339202","Animals","Acanthoparyphium spinullsum","52319","Flatworms","Platyhelminthes","121726","Flatworms","Trematoda","152799","Flatworms","Echinostomida","339240","Flatworms","Echinostomatidae","339249","Flatworms","Acanthoparyphium",1,"Animals","Animalia"
"Acanthus mollis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Unconfirmed","30038","30038","Bear's breeches","Acanthus mollis","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","48151","Dicots","Lamiales","50151","Acanthus family","Acanthaceae","70046","Acanthus","Acanthus",47126,"Plants","Plantae"
"Acartia","Invertebrate","Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","480415","480415","Calanoid Copepods","Acartia clausi","47120","Arthropods","Arthropoda",NA,NA,NA,"85507","Calanoid Copepods","Calanoida","195129","Calanoid Copepods","Acartiidae","2603656","Animals","Acartia",1,"Animals","Animalia"
"Accipiter cooperii","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",15,10,0,2,0,0,1,0,1,2,7,2,0,0,0,0,0,0,0,3,3,2,4,3,0,"Present","1284979","1284979","Cooper's Hawk","Accipiter cooperii","2","Chordates","Chordata","3","Birds","Aves","71261","Hawks, Eagles, Vultures, and Allies","Accipitriformes","5067","Hawks, Eagles, and Kites","Accipitridae","5085","Accipiters","Accipiter",1,"Animals","Animalia"
"Accipiter gentilis","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","69746","69746","Northern Goshawk","Accipiter gentilis","2","Chordates","Chordata","3","Birds","Aves","71261","Hawks, Eagles, Vultures, and Allies","Accipitriformes","5067","Hawks, Eagles, and Kites","Accipitridae","5085","Accipiters","Accipiter",1,"Animals","Animalia"
"Accipiter striatus","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",6,3,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,"Present","1638","1638","Sharp-shinned Hawk","Accipiter striatus","2","Chordates","Chordata","3","Birds","Aves","71261","Hawks, Eagles, Vultures, and Allies","Accipitriformes","5067","Hawks, Eagles, and Kites","Accipitridae","5085","Accipiters","Accipiter",1,"Animals","Animalia"
"Acer macrophyllum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",12,11,0,0,4,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,3,3,5,0,"Present","1145","1145","Bigleaf Maple","Acer macrophyllum","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47729","Maples, mangos, mahogany, citrus, and allies","Sapindales","58321","Soapberry family","Sapindaceae","47727","Maples","Acer",47126,"Plants","Plantae"
"Acer negundo","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",7,6,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,1,2,1,NA,"4047157","4047157","Boxelder","Acer negundo","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47729","Maples, mangos, mahogany, citrus, and allies","Sapindales","58321","Soapberry family","Sapindaceae","47727","Maples","Acer",47126,"Plants","Plantae"
"Acer platanoides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,"20954","20954","Norway maple","Acer platanoides","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47729","Maples, mangos, mahogany, citrus, and allies","Sapindales","58321","Soapberry family","Sapindaceae","47727","Maples","Acer",47126,"Plants","Plantae"
"Achillea millefolium","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Achillea",89,59,2,2,36,15,13,3,1,7,8,0,0,2,0,0,0,0,1,1,7,30,12,21,17,"Present","4902","4902","Common yarrow","Achillea millefolium","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47605","Sunflowers and allies","Asterales","47604","Sunflowers, daisies, asters and allies","Asteraceae","52818","Yarrows","Achillea",47126,"Plants","Plantae"
"Achnanthes brevipes","Plant","Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","345145","345145","Kelp, Diatoms, and Allies","Achnanthes brevipes","48221","Kelp, Diatoms, and Allies","Ochrophyta","123880","Diatoms","Bacillariophyceae","152677","Diatoms","Acnanthales","339335","Diatoms","Achnanthaceae","339308","Diatoms","Achnanthes",48222,"Kelp, Diatoms, and Allies","Chromista"
"Achyrachaena mollis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Achyrachaena",3,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"Present","3276295","3276295","Blow Wives","Achyrachaena mollis","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47605","Sunflowers and allies","Asterales","47604","Sunflowers, daisies, asters and allies","Asteraceae","56853","Sunflowers, daisies, asters and allies","Achyrachaena",47126,"Plants","Plantae"
"Acila castrensis","Invertebrate","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Acila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","626196","626196","Animals","Acila castrensis","47115","Mollusks","Mollusca","47584","Bivalves","Bivalvia","51278","Bivalves","Nuculoida","193931","Nut clams","Nuculidae","339159","Nut clams","Acila",1,"Animals","Animalia"
"Acipenser medirostris","Fish","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","258202","258202","Green Sturgeon","Acipenser medirostris","2","Chordates","Chordata","47178","Ray-finned Fishes","Actinopterygii","49824","Sturgeons and Paddlefishes","Acipenseriformes","49825","Sturgeons","Acipenseridae","49826","Sturgeons","Acipenser",1,"Animals","Animalia"
"Acipenser transmontanus","Fish","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","258206","258206","White Sturgeon","Acipenser transmontanus","2","Chordates","Chordata","47178","Ray-finned Fishes","Actinopterygii","49824","Sturgeons and Paddlefishes","Acipenseriformes","49825","Sturgeons","Acipenseridae","49826","Sturgeons","Acipenser",1,"Animals","Animalia"
"Acmaea mitra","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Acmaeidae","Acmaea",4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"Present","1168475","1168475","Whitecap Limpet","Acmaea mitra","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","47678","True Limpets","Acmaeidae","47677","True Limpets","Acmaea",1,"Animals","Animalia"
"Acmaea patina","Invertebrate","Animalia","Mollusca","Gastropoda",NA,"Lepetidae","Patina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Animals","Animalia"
"Acmispon americanus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Present","11720","11720","Spanish clover","Acmispon americanus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","64336","Deervetch","Acmispon",47126,"Plants","Plantae"
"Acmispon brachycarpus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Present","11716","11716","Foothill deervetch","Acmispon brachycarpus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","64336","Deervetch","Acmispon",47126,"Plants","Plantae"
"Acmispon glaber","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",15,12,0,1,3,1,2,0,1,5,0,1,0,1,0,0,0,0,0,0,5,4,3,3,0,NA,"5247","5247","Deerweed","Acmispon glaber","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","64336","Deervetch","Acmispon",47126,"Plants","Plantae"
"Acmispon heermannii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","296081","296081","Heermann's Lotus","Acmispon heermannii","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","64336","Deervetch","Acmispon",47126,"Plants","Plantae"
"Acmispon parviflorus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Present","3312543","3312543","Short-flower Deervetch","Acmispon parviflorus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","64336","Deervetch","Acmispon",47126,"Plants","Plantae"
"Acmispon strigosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","70233","70233","Strigose lotus","Acmispon strigosus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","64336","Deervetch","Acmispon",47126,"Plants","Plantae"
"Acmispon wrangelianus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Present","20087","20087","Chile trefoil","Acmispon wrangelianus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","64336","Deervetch","Acmispon",47126,"Plants","Plantae"
"Acroneuria","Invertebrate","Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","212419","212419","Boreal Stone","Acroneuria yuchi","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47504","Stoneflies","Plecoptera","154347","Common Stoneflies","Perlidae","3021633","Animals","Acroneuria",1,"Animals","Animalia"
"Acronicta spinea","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"757490","757490","Animals","Acronicta spinea","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47157","Butterflies and Moths","Lepidoptera","48670","Noctuid Moths","Noctuidae","55624","Dagger Moths","Acronicta",1,"Animals","Animalia"
"Actaea rubra","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea",4,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"Present","5233","5233","Red baneberry","Actaea rubra","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","48232","Dicots","Ranunculales","48231","Buttercup family","Ranunculaceae","49871","Baneberry","Actaea",47126,"Plants","Plantae"
"Acteocina culcitella","Invertebrate","Animalia","Mollusca","Gastropoda","Cephalaspidea","Cylichnidae","Acteocina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","49788","49788","Animals","Acteocina culcitella","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","49784","Headshield Slugs","Cephalaspidea","49785","Headshield Slugs","Cylichnidae","49786","Headshield Slugs","Acteocina",1,"Animals","Animalia"
"Actinemys marmorata","Herp","Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1661","1661","Western Pond Turtle","Actinemys marmorata","2","Chordates","Chordata","26036","Reptiles","Reptilia","39532","Turtles and Tortoises","Testudines","39760","Pond and Box Turtles","Emydidae","71788","Northern Pacific Pond Turtle","Actinemys",1,"Animals","Animalia"
"Actitis macularius","Bird","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis",4,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,"Present","815340","815340","Spotted Sandpiper","Actitis macularius","2","Chordates","Chordata","3","Birds","Aves","67561","Shorebirds","Charadriiformes","3835","Sandpipers and Allies","Scolopacidae","3977","Sandpipers and Allies","Actitis",1,"Animals","Animalia"
"Adalia bipunctata","Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"1203642","1203642","Two-spotted Ladybug","Adalia bipunctata","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47208","Beetles","Coleoptera","48486","Lady Beetles","Coccinellidae","52507","Lady Beetles","Adalia",1,"Animals","Animalia"
