"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","original.inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","speciesTidy","matched.inat.ID","taxizeName","scrapediNatName"
"Acila castrensis","Invertebrate","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Acila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Acila castrensis","339158","Acila castrensis","Acila castrensis"
"Acipenser medirostris","Fish","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"green sturgeon","Probably Present","Acipenser medirostris","93183","Acipenser medirostris","Acipenser medirostris"
"Acipenser transmontanus","Fish","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"white sturgeon","Present","Acipenser transmontanus","93194",NA,NA
"Acmaea mitra","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Acmaeidae","Acmaea",4,2,47676,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"whitecap limpet","Present","Acmaea mitra","47676",NA,NA
"Acmaea patina","Invertebrate","Metazoa","Mollusca","Gastropoda",NA,"Lepetidae","Patina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Acmaea patina",NA,NA,NA
"Acmispon americanus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",1,1,57049,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"American bird's-foot trefoil","Present","Acmispon americanus","57049",NA,NA
"Acmispon brachycarpus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,57047,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"foothill deervetch, maresfat","Present","Lotus humistratus","57047","Acmispon brachycarpus",NA
"Acmispon glaber","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",15,12,53134,0,1,3,1,2,0,1,5,0,1,0,1,0,0,0,0,0,0,5,4,3,3,0,NA,NA,NA,NA,NA,NA
"Acmispon heermannii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heermann's bird's-foot trefoil","Present","Acmispon heermannii","75273",NA,NA
"Acmispon parviflorus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,57048,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"desert deervetch","Present","Lotus micranthus","57048","Acmispon parviflorus",NA
"Acmispon strigosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strigose bird's-foot trefoil","Present","Acmispon strigosus","75281",NA,NA
"Acmispon wrangelianus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,57050,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Chilean bird's-foot trefoil","Present","Lotus wrangelianus","57050","Acmispon wrangelianus",NA
"Acroneuria","Invertebrate","Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Acroneuria","172733","Acroneuria","Acroneuria"
"Acronicta spinea","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta",1,1,349742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actaea rubra","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea",4,3,49870,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"western baneberry","Present","Actaea rubra","49870",NA,NA
"Acteocina culcitella","Invertebrate","Animalia","Mollusca","Gastropoda","Cephalaspidea","Cylichnidae","Acteocina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pillow barrel-bubble","Present","Acteocina culcitella","49788","Acteocina culcitella","Acteocina culcitella"
"Actinemys marmorata","Herp","Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Western Pond Turtle, Pacific Pond Turtle, Western Pond Turtle","Present","Actinemys marmorata","73592",NA,NA
"Actitis macularius","Bird","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis",4,3,72458,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,"Spotted Sandpiper","Present","Actitis macularius","72458",NA,NA
"Adalia bipunctata","Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia",1,1,52506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Adela septentrionella","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Adelidae","Adela",1,1,317689,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Adelpha californica","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Adelpha",2,2,67560,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"Adenocaulon bicolor","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Adenocaulon",6,5,56854,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,"American trailplant","Present","Adenocaulon bicolor","56854",NA,NA
"Adenostoma fasciculatum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Adenostoma",12,10,47146,0,0,3,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,1,7,"chamise","Present","Adenostoma fasciculatum","47146",NA,NA
"Adiantum aleuticum","Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Pteridaceae","Adiantum",6,6,52667,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,2,"Aleutian maidenhair, Aleutian maidenhair-fern, five-finger fern","Unconfirmed","Adiantum aleuticum","52667",NA,NA
"Adiantum jordanii","Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Pteridaceae","Adiantum",1,1,56032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"California maidenhair fern","Present","Adiantum jordanii","56032",NA,NA
"Adula diegensis","Invertebrate","Animalia","Mollusca","Bivalvia","Mytiloida","Mytilidae","Adula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Diego datemussel","Present","Adula diegensis","345075",NA,NA
"Aechmophorus clarkii","Bird","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus",3,3,4234,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,"Clark's grebe","Present","Aechmophorus clarkii","4234",NA,NA
"Aechmophorus occidentalis","Bird","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus",18,15,4235,1,2,3,2,1,1,1,0,1,2,3,1,0,0,0,0,0,2,3,5,3,3,2,"Western Grebe","Present","Aechmophorus occidentalis","4235",NA,NA
"Aedes washinoi","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes",2,1,347969,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA
"Aegires albopunctatus","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Notodorididae","Aegires",25,7,48981,0,0,0,0,5,12,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,18,0,NA,NA,NA,NA,NA,NA
"Aegolius acadicus","Bird","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius",1,1,20356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Northern Saw-whet Owl","Present","Aegolius acadicus","20356",NA,NA
"Aeolidia loui","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Aeolidia",3,3,498117,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA
"Aeolidia papillosa","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Aeolidia",13,8,47463,0,2,1,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,"shag-rug aeolis","Present","Aeolidia papillosa","47463",NA,NA
"Aeonium arboreum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Aeonium",1,1,80323,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"tree aeonium","Unconfirmed","Aeonium arboreum","67717",NA,NA
"Aeonium haworthii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Aeonium",1,1,75293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Aequorea forskalea","Invertebrate","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aequoreidae","Aequorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Aequorea forskalea","345076",NA,NA
"Aeronautes saxatalis","Bird","Animalia","Chordata","Aves","Caprimulgiformes","Apodidae","Aeronautes",1,1,6553,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"White-throated Swift","Present","Aeronautes saxatalis","6553",NA,NA
"Aesculus californica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus",23,22,53348,0,1,3,7,3,1,2,0,3,1,1,1,0,0,0,0,0,1,3,4,7,6,2,"California buckeye","Present","Aesculus californica","53348",NA,NA
"Aeshna umbrosa","Invertebrate","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shadow darner, Shadow Darner","Present","Aeshna umbrosa","67727",NA,NA
"Aethia psittacula","Bird","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Aethia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parakeet Auklet","Unconfirmed","Aethia psittacula","4543",NA,NA
"Agapanthus africanus","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Amaryllidaceae","Agapanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lily of the Nile","Present","Agapanthus africanus","56019",NA,NA
"Agapanthus praecox","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Amaryllidaceae","Agapanthus",1,1,199324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Present","Agapanthus orientalis","199324","Agapanthus praecox",NA
"Agapetus","Invertebrate","Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Agapetus","172802","Agapetus","Agapetus"
"Agaricus augustus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",3,2,49547,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Agaricus californicus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",1,1,118379,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Agaricus campestris","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",1,1,143563,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Agaricus subrutilescens","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",1,1,67354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Agaricus xanthodermus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",1,1,118394,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"Agave americana","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Agave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American agave, American century plant, centuryplant","Unconfirmed","Agave americana","64103",NA,NA
"Agelaius phoeniceus","Bird","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius",22,20,9744,1,0,6,12,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,5,2,7,5,"Red-winged Blackbird","Present","Agelaius phoeniceus","9744",NA,NA
"Agelaius tricolor","Bird","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius",1,1,9743,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Tricolored Blackbird","Present","Agelaius tricolor","9743",NA,NA
"Ageratina adenophora","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Ageratina",16,14,64114,0,0,4,5,0,2,3,0,1,0,0,1,0,0,0,0,0,0,1,5,3,6,1,"sticky snakeroot","Present","Ageratina adenophora","64114",NA,NA
"Aglaophenia inconspicua","Invertebrate","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Aglaophenia inconspicua","339185","Aglaophenia inconspicua","Aglaophenia inconspicua"
"Aglaophenia latirostris","Invertebrate","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia",2,1,117704,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA
