"decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","kingdom","phylum","class","order","family","genus","year","month","speciesFixed","category"
-122.882616,38.027394,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",2011,4,"Castilleja ambigua","Plant"
-122.950508,38.118755,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Sisyrinchium",2011,4,"Sisyrinchium bellum","Plant"
-122.951087,38.119059,NA,"Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Nemophila",2011,4,"Nemophila menziesii","Plant"
-122.947375,38.118265,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Rubus",2011,4,"Rubus spectabilis","Plant"
-122.965722,38.204346,NA,"Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Rhopalomyia",2009,1,"Rhopalomyia californica","Invertebrate"
-122.940117,38.122192,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium",2009,7,"Cirsium quercetorum","Plant"
-122.951554,38.118529,NA,"Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Dudleya",2010,7,"Dudleya farinosa","Plant"
-122.8010101318,38.019241333,30,"Plantae","Pteridophyta","Filicopsida","Polypodiales","Polypodiaceae","Polypodium",2011,6,"Polypodium scouleri","Plant"
-122.9397201538,38.1222915649,17,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",2011,7,"Castilleja exserta","Plant"
-122.9508743286,38.1192741394,47,"Plantae","Magnoliophyta","Magnoliopsida","Apiales","Araliaceae","Hydrocotyle",2011,7,"Hydrocotyle ranunculoides","Plant"
-122.9511642456,38.1196365356,47,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia",2011,7,"Ambrosia chamissonis","Plant"
-122.944364,38.118672,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia",2011,7,"Claytonia sibirica","Plant"
-122.944356,38.118669,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Erythranthe",2011,7,"Erythranthe moschata","Plant"
-122.951014,38.119386,NA,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Camissoniopsis",2011,7,"Camissoniopsis cheiranthifolia","Plant"
-122.951025,38.11938,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella",2011,7,"Monardella sinuata","Plant"
-122.950962,38.119316,NA,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Nasturtium",2011,7,"Nasturtium officinale","Plant"
-122.9508304596,38.1135170487,NA,"Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria",2010,8,"Elgaria coerulea","Herp"
-122.9817295074,37.9953848266,NA,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus",2010,12,"Odocoileus hemionus","Mammal"
-122.9818663001,37.9973484671,NA,"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca",2010,12,"Phoca vitulina","Mammal"
-122.9822337627,37.9974351282,NA,"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga",2010,12,"Mirounga angustirostris","Mammal"
-123.0164158344,37.9971011655,NA,"Animalia","Chordata","Mammalia","Carnivora","Otariidae","Zalophus",2010,12,"Zalophus californianus","Mammal"
-122.7835679054,37.9531908523,NA,"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster",2010,6,"Pisaster brevispinus","Invertebrate"
-122.9734897614,38.0828584426,NA,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",2010,12,"Larus glaucescens","Bird"
-122.9712152481,38.0877900844,NA,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",2010,12,"Larus occidentalis","Bird"
-122.8001010418,38.0408669092,NA,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma",2010,12,"Aphelocoma californica","Bird"
-122.9375228507,38.0903411468,10000,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Batrachoseps",2012,1,"Batrachoseps attenuatus","Herp"
-122.9401812842,38.180524696,10000,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Taricha",2012,1,"Taricha granulosa","Herp"
-122.8833782673,38.0330927499,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",2012,1,"Anas americana","Bird"
-122.8777644038,38.0414605,NA,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis",2012,1,"Sayornis nigricans","Bird"
-122.8078365326,38.0531602266,NA,"Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla",2012,1,"Callipepla californica","Bird"
-122.8787595034,38.0395529652,NA,"Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile",2012,1,"Poecile rufescens","Bird"
-122.883067131,38.0331265524,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",2012,1,"Anas platyrhynchos","Bird"
-122.8834962845,38.0330927499,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",2012,1,"Anas acuta","Bird"
-122.8843009472,38.0325159927,NA,"Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",2012,1,"Falco peregrinus","Bird"
-122.8600001335,38.0440692849,NA,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo",2012,1,"Buteo jamaicensis","Bird"
-122.8837752342,38.0252543789,NA,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris",2012,1,"Calidris alba","Bird"
-122.8787863255,38.0402923257,NA,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta",2012,1,"Cyanocitta stelleri","Bird"
-122.7995324135,38.0411372999,NA,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Zonotrichia",2010,12,"Zonotrichia atricapilla","Bird"
-122.979515,37.99519,10,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis",2010,12,"Sayornis nigricans","Bird"
-122.9653005585,37.9902275817,5,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",2010,12,"Corvus corax","Bird"
-122.9795752749,37.9953240031,16,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia",2010,12,"Streptopelia decaocto","Bird"
-122.9919433594,38.0026557406,NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea",2012,4,"Ardea herodias","Bird"
-122.9019927979,38.0486317945,3340,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium",2012,4,"Trifolium fucatum","Plant"
-122.9368400574,38.0728252404,NA,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus",2012,4,"Raphanus sativus","Plant"
-122.9864501953,38.0113122607,NA,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",2012,4,"Larus occidentalis","Bird"
-122.9740905762,38.027540481,NA,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Papaveraceae","Eschscholzia",2012,4,"Eschscholzia californica","Plant"
-122.951348,38.118697,NA,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Stelgidopteryx",2012,5,"Stelgidopteryx serripennis","Bird"
-122.950612,38.118552,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Triphysaria",2012,5,"Triphysaria eriantha","Plant"
-122.944834,38.118988,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Sisyrinchium",2012,5,"Sisyrinchium californicum","Plant"
-122.942195,38.121186,NA,"Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria",2012,5,"Elgaria coerulea","Herp"
-122.95492,38.119547,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela",2012,5,"Cicindela hirticollis","Invertebrate"
-122.954764,38.123927,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",2012,5,"Agoseris apargioides","Plant"
-122.954345,38.123591,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris",2012,5,"Pseudacris sierra","Herp"
-122.951928,38.122175,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela",2012,5,"Cicindela depressula","Invertebrate"
-122.951364,38.118683,NA,"Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus",2012,5,"Calochortus tolmiei","Plant"
-122.9733181,38.2247969606,NA,"Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Patiria",2011,7,"Patiria miniata","Invertebrate"
-122.9732322693,38.2246283913,NA,"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster",2011,7,"Pisaster brevispinus","Invertebrate"
-122.9744553566,38.225724085,NA,"Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura",2011,7,"Anthopleura xanthogrammica","Invertebrate"
-122.9423115013,38.1210467945,2,"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela",2012,5,"Mustela frenata","Mammal"
-122.9496781883,38.11790952,1479,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus",2012,5,"Raphanus sativus","Plant"
-122.9390459118,38.1228092558,13,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Rubus",2012,5,"Rubus spectabilis","Plant"
-122.9496781883,38.11790952,1479,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",2012,5,"Lupinus arboreus","Plant"
-122.9496781883,38.11790952,1479,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Papaveraceae","Eschscholzia",2012,5,"Eschscholzia californica","Plant"
-122.9389681277,38.12278499,5,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Silybum",2012,5,"Silybum marianum","Plant"
-122.9437344131,38.1188675476,10,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla",2012,5,"Potentilla anserina","Plant"
-122.9496781883,38.11790952,1479,"Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla",2012,5,"Callipepla californica","Bird"
-122.9496781883,38.11790952,1479,"Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Sidalcea",2012,5,"Sidalcea malviflora","Plant"
-122.9363529739,38.1236406167,10,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium",2012,5,"Cirsium occidentale","Plant"
-122.9499356804,38.1193950824,122,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Scrophularia",2012,5,"Scrophularia californica","Plant"
-122.9441206513,38.118584775,39,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus",2012,5,"Ranunculus orthorhynchus","Plant"
-122.9537980614,38.1187198268,114,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Armeria",2012,5,"Armeria maritima","Plant"
-122.9441850243,38.1189224041,58,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia",2012,5,"Claytonia sibirica","Plant"
-122.9531972466,38.1189899298,122,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Fragaria",2012,5,"Fragaria chiloensis","Plant"
-122.9531972466,38.1186523009,99,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",2012,5,"Abronia latifolia","Plant"
-122.957746273,38.1215558582,122,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris",2012,5,"Calidris alba","Bird"
-122.9586045799,38.1200703317,122,"Animalia","Arthropoda","Malacostraca","Decapoda","Hippidae","Emerita",2012,5,"Emerita analoga","Invertebrate"
-122.9524247704,38.1190574554,220,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Cakile",2012,5,"Cakile maritima","Plant"
-122.9545705376,38.1184497229,122,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula",2012,5,"Cotula coronopifolia","Plant"
-122.9239334994,38.1746685888,10000,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Erysimum",2012,5,"Erysimum concinnum","Plant"
-122.8928103388,38.0673812177,129,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lathyrus",2012,5,"Lathyrus littoralis","Plant"
-122.8260228599,38.0205686202,10000,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Layia",2012,5,"Layia carnosa","Plant"
-122.9550699104,38.1229983847,100,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Carpobrotus",2012,5,"Carpobrotus edulis","Plant"
-122.9371312965,38.1232684718,100,"Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla",2012,5,"Callipepla californica","Bird"
-122.9554990639,38.1241462482,100,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cardionema",2012,5,"Cardionema ramosissimum","Plant"
-122.9583314766,38.1232684718,100,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta",2012,5,"Melanitta perspicillata","Bird"
-122.9554132332,38.1238761643,100,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Platyprepia",2012,5,"Platyprepia virginalis","Invertebrate"
-122.9354146827,38.1237411219,39,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo",2012,5,"Hirundo rustica","Bird"
-122.9409078468,38.1221205946,100,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Zonotrichia",2012,5,"Zonotrichia leucophrys","Bird"
-122.9374746193,38.1234710365,69,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Icaricia",2012,5,"Icaricia icarioides","Invertebrate"
-122.9448131431,38.1188794319,47,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Geothlypis",2012,5,"Geothlypis trichas","Bird"
