"genus.scientific","genus.common"
"Carduus","Thistle"
"Carex","Sedges"
"Carpobrotus","Ice Plants, Pigfaces"
"Castilleja","Indian Paintbrush"
"Cathartes",""
"Catharus","American thrushes"
"Ceanothus","Ceanothus"
"Celastrina",""
"Cepphus",""
"Cerastium","Mouse-ear Chickweed"
"Cercyonis","Wood-Nymphs"
"Certhia","Treecreeper"
"Cervus",""
"Chalybion",""
"Chamaea",""
"Charadrius","Ringed Plovers, Sandplovers"
"Charina",""
"Chen",""
"Chlorogalum","Soap plant"
"Chondracanthus",""
"Chordeiles","Nighthawks"
"Chorizanthe","Spineflowers"
"Chroicocephalus","Hooded gulls"
"Chroogomphus",""
"Chrysaora","Sea nettle"
"Chrysolepis",""
"Chrysolina",""
"Chthamalus",""
"Cichorium","Chicory"
"Cicindela","Tiger beetles"
"Circus","Harriers"
"Cirsium","thistle"
"Cisseps",""
"Cistothorus",""
"Cladidium",""
"Cladonia",""
"Clarkia",""
"Clavulina",""
"Claytonia",""
"Clematis","Traveller's Joy"
"Clinocardium",""
"Clinopodium",""
"Clitocybe",""
"Coccinella",""
"Codium",""
"Coenonympha",""
"Colaptes","Flickers; woodpeckers"
"Colias",""
"Collinsia",""
"Collomia",""
"Conium","Hemlock"
"Contopus","Pewee"
"Convolvulus","Bindweed"
"Coprinopsis",""
"Coprinus",""
"Coragyps","American Black Vulture"
"Cordulegaster",""
"Corethrogyne",""
"Cornu",""
"Corolla",""
"Cortaderia","Pampas Grass"
"Cortinarius","Cortinar, Webcap"
"Corvus","Crows and ravens"
"Corylus","Hazel"
"Cotula",""
"Craterellus",""
"Crepidotus",""
"Cryptantha",""
"Cryptochiton",""
"Cryptomya",""
"Cryptoporus",""
"Cupido",""
"Cupressus","Cypress"
"Cuscuta","Dodder"
"Cuthona",""
"Cyanocitta",""
"Cygnus","Swan"
"Cymbalaria","Ivy-leaved Toadflax"
"Cynoglossum",""
"Cynosurus","Dogstail"
"Cyperus","Papyrus Sedges, Umbrella Sedges"
"Cytisus","Broom"
"Dacrymyces",""
"Dama","Fallow Deer"
"Danaus",""
"Danthonia","Oatgrass"
"Datura",""
"Daucus","Wild Carrot"
"Deinandra",""
"Delphinium",""
"Dendraster",""
"Dendrographa",""
"Dermasterias",""
"Diabrotica","Cucumber beetle"
"Diaulula",""
"Dicamptodon","American Giant Salamanders"
"Dicentra","Bleeding heart"
"Dichelostemma",""
"Dichorda",""
"Didemnum",""
"Digitalis","Foxgloves"
"Dipsacus","Teasel"
"Dirca","Leatherwoods"
"Distichlis",""
"Dolichousnea",""
"Doris",""
"Drosanthemum","Dewflowers, Vygies"
"Dryocopus",""
"Dryopteris","Wood ferns"
"Dudleya","Short-leaved Dudleya"
"Egregia",""
"Ehrharta","Veldtgrass, Pipe Grasses"
"Elanus",""
"Eleocharis","Spike Rushes"
"Elgaria",""
"Elymus","Wildrye or Wheatgrass"
"Embiotoca",""
"Emerita",""
"Empidonax",""
"Enallagma",""
"Endocladia",""
"Ensatina","Ensatinas"
"Entomophthora",""
"Epilobium","Willowherb"
"Epipactis","Helleborine"
"Epitonium",""
"Equisetum","Horsetails"
"Eremophila",""
"Ericameria",""
"Erigeron",""
"Eriodictyon",""
"Eriogonum","Wild Buckwheat"
"Eriophyllum",""
"Eristalis",""
"Erodium","Storksbill"
"Eryngium","Sea Holly, Eryngo"
"Erysimum",""
"Erythemis","Pondhawks"
"Erythranthe",""
"Eschscholzia","California Poppy"
"Eucalyptus","Gum Trees, Eucalypts, Mallee"
"Eumetopias",""
"Euphagus",""
"Euphorbia","Spurge"
"Exidia",""
"Falco","Falcon"
"Flavoparmelia","Greenshield lichens, &#160; Flavoparmelia lichens"
"Fomitopsis","Fomitopsis"
"Formica","wood ant"
"Fragaria","strawberry"
"Frangula",""
"Frankenia",""
"Fritillaria",""
"Fulica","coot"
"Fuligo",""
"Galium","Bedstraw"
"Gambusia",""
"Gamochaeta","everlasting"
"Ganoderma",""
"Garrya","Silktassel, Tassel Bush"
"Gasterosteus",""
"Gastrophysa",""
"Gaultheria",""
"Gavia","Loons or Divers"
"Gentiana","Gentian"
"Geothlypis","Yellowthroat"
"Geranium","Geraniums, Cranesbills"
"Gilia",""
"Gliophorus",""
"Gomphidius",""
"Grindelia",""
"Gymnopilus",""
"Habronattus",""
"Haematopus",""
"Haemorhous",""
"Haplotrema",""
"Harmonia",""
"Harpaphe",""
"Hedera","Ivy"
"Helenium",""
"Heliotropium",""
"Helminthoglypta",""
"Helvella",""
"Hemigrapsus",""
"Heracleum","Hogweeds"
"Hermissenda",""
"Hesperolinon",""
"Heterodermia","Fringe lichens, &#160; Centipede lichens, &#160; Shield lichens"
"Heteromeles",""
"Heterotheca","Goldenaster"
"Hieracium","hawkweed"
"Hippodamia",""
"Hirschfeldia",""
"Hirundo",""
"Histrionicus","Harlequin Ducks"
"Holcus",""
"Holodiscus",""
"Hordeum","Barley"
"Horkelia",""
"Hosackia",""
"Hyalophora",""
"Hydnellum",""
"Hydriomena",""
"Hydrocotyle","water pennywort, Indian Pennywort, Marsh Penny, Thick-leaved Pennywort"
"Hydroprogne",""
"Hygrocybe",""
"Hygrophoropsis",""
"Hygrophorus",""
"Hylephila",""
"Hyles",""
"Hypericum","St John's-wort"
"Hypholoma",""
"Hypochaeris","Cat's-ear"
"Hypogymnia","Tube lichens, &#160; Bone lichens, &#160; Pillow lichens"
"Hypomyces",""
"Icaricia",""
"Icterus","New World orioles"
"Ilex","Holly"
"Iris",""
"Ischnura",""
"Ixoreus",""
"Jaumea",""
"Junco","Junco"
"Juncus",""
"Junonia","Buckeyes; Pansies; Commodores"
"Kickxia","Cancerworts, Fluellins"
"Kindbergia",""
"Kniphofia","Red hot poker, Torch lily, Poker plant"
"Laccaria",""
"Lachnum",""
"Lactarius",""
"Lagurus",""
"Laminaria",""
"Largus",""
"Larus","Larus"
"Lasthenia",""
"Lathyrus","Sweet peas, Vetchlings"
"Layia",""
"Leccinum",""
"Lemna",""
"Lenzites",""
"Leocarpus",""
"Leontodon","Hawkbit"
"Leotia",""
"Lepiota",""
"Leptosiphon",""
"Lepus","Hare"
"Leucanthemum",""
"Leucopaxillus",""
"Leukoma",""
"Libellula","Skimmers or Perchers"
"Lichnanthe",""
"Ligusticum",""
"Lilium","Lilies"
"Limenitis",""
"Limnanthes","Meadowfoams"
"Limonium","Sea Lavender, Statice, Marsh Rosemary"
"Limosa","Godwits"
"Linaria","Toadflax"
"Linum","Flax"
"Littorophiloscia",""
"Lolium","Ryegrass"
"Lomatium","Biscuit Root, Desert Parsley"
"Lonicera",""
"Lontra","River otter"
"Lophocampa",""
"Lophodytes",""
"Lophopanopeus",""
"Lottia",""
"Lotus","Bird's-foot, Trefoils"
"Ludwigia",""
"Lupinus",""
"Luzula",""
"Lycaena",""
"Lycogala",""
"Lycoperdon",""
"Lygaeus",""
"Lynx",""
"Macrocystis","Giant Kelp"
"Madia",""
"Maianthemum",""
"Malacosoma","Tent caterpillar"
"Marah",""
"Marasmius",""
"Marchantia",""
"Mastocarpus",""
"Matricaria",""
"Medicago","Medick"
"Megaceryle",""
"Megalorchestia",""
"Melanerpes",""
"Melanitta","Scoters"
"Melanoplus",""
"Melospiza",""
"Melozone",""
"Mentha","Mint"
"Mephitis",""
"Mergus","Merganser"
"Mesoleuca",""
"Metacarcinus",""
"Microtes",""
"Microtus",""
"Mimulus",""
"Mirounga","Elephant seal"
"Misumena","Misumena"
"Mola",""
"Monadenia",""
"Monardella",""
"Mopalia",""
"Morella",""
"Mustela","Weasels"
"Mustelus",""
"Mycena",""
"Myliobatis",""
"Myosotis","Forget-me-not"
"Myriophyllum","water milfoil"
"Mytilus",""
"Nassarius",""
"Nasturtium",""
"Navanax",""
"Navarretia","Pincushion Plants"
"Nemophila",""
"Neoalcis",""
"Neotoma","Pack rat"
"Neotrypaea",""
"Nereocystis","edible kelp, bull kelp, bullwhip kelp, ribbon kelp, giant kelp, bladder wrack"
"Neurotrichus","American Shrew Moles"
"Neverita",""
"Nicrophorus","Burying beetle"
"Niebla","Fog lichens;&#160; Niebla lichens"
"Noctua",""
"Nothochrysa",""
"Notholithocarpus","Tanoak"
"Nucella","dog whelks"
"Numenius","Curlew"
"Nuttallanthus",""
"Nycticorax","Night Herons"
"Nymphaea",""
"Ochlodes",""
"Octogomphus",""
"Odocoileus",""
"Oemleria",""
"Oenanthe",""
"Oligocottus",""
"Olivella",""
"Oncorhynchus","Salmon"
"Ondatra",""
"Orobanche","Broomrape"
"Ostrea",""
"Oxalis","Sorrels"
"Oxyura","Stiff-tailed ducks"
"Pachygrapsus","shore crab"
"Panaeolus",""
"Pandion","Osprey"
"Papilio",""
"Paraconcavus",""
"Paralichthys",""
"Parasola",""
"Passerculus",""
"Passerella","Fox sparrows"
"Patagioenas",""
"Patiria",""
"Paxillus",""
"Pelecanus","Pelicans"
"Pelvetiopsis",""
"Pentagramma",""
"Perizoma",""
"Peromyscus","Deer Mice"
"Persicaria","Smartweeds, Pinkweeds"
"Petalonia",""
"Petrochelidon",""
"Peziza","Peziza"
"Phacelia","scorpionweed"
"Phaeolus",""
"Phalacrocorax","Cormorants"
"Phalaenoptilus",""
"Phalaris",""
"Phalaropus",""
"Pheucticus",""
"Phoca",""
"Pholiota",""
"Phragmatopoma",""
"Phyciodes",""
"Phycomyces",""
"Phyllaplysia",""
"Picoides","Woodpeckers"
"Pieris",""
"Pinus","Pine"
"Piperia",""
"Pipilo","Towhee"
"Pisaster",""
"Pittosporum","Cheesewood"
"Pituophis","Gopher Snakes, Pine Snakes, and Bull Snakes"
"Plantago","Plantain"
"Platanthera",""
"Platyprepia",""
"Platystemon",""
"Plectritis",""
"Pleurotus",""
"Pluteus",""
"Pluvialis",""
"Poa","Meadow Grasses"
"Poanes",""
"Podiceps",""
"Podilymbus","Pied-billed Grebe"
"Poecile",""
"Polites",""
"Pollicipes",""
"Polycauliona",""
"Polycera",""
"Polygala","Milkwort, Snakeroots"
"Polygonia",""
"Polygonum","Knotweed, Knotgrass, Tear Thumb, Mile-a-minute"
"Polyorchis",""
"Polypodium","Polypody"
"Polypogon",""
"Polystichum",""
"Pontania",""
"Porcellio",""
"Portunus",""
"Postelsia","Sea Palm"
"Potentilla","Cinquefoil"
"Pritchardomyia",""
"Procyon","Raccoons"
"Progne","Martin"
"Prosartes","Roughfruit fairybells, wartberry fairybell"
"Protoparmeliopsis",""
"Prunella",""
"Psaltriparus",""
"Pseudacris","Chorus Frogs"
"Pseudoceros",""
"Pseudognaphalium",""
"Pseudotsuga","Douglas-fir"
"Psilocarphus",""
"Pteridium","Brackens"
"Pugettia",""
"Pyrausta",""
"Pyrgus","Grizzled skippers"
"Pyrrharctia",""
"Quercus","Oak"
"Rallus","Rail"
"Ramalina","Ramalina, Cartilage lichens"
"Ramaria",""
"Rana","True Frogs"
"Ranunculus","Buttercup"
"Raphanus","Radish"
"Regulus","crests, kinglets"
"Rhacochilus",""
"Rhinocyllus",""
"Rhionaeschna",""
"Rhododendron",""
"Rhopalomyia",""
"Ribes",""
"Riparia",""
"Romaleon",""
"Romulea",""
"Rorippa",""
"Rosa","Rose"
"Rostanga",""
"Rubus","blackberry"
"Ruditapes",""
"Rumex","Docks, Sorrels"
"Russula","Brittlegills"
"Salicornia","Glasswort, Pickleweed, Marsh Samphire"
"Salix","Willow"
"Salpinctes",""
"Sambucus","Elderberry"
"Sanicula","sanicle"
"Sarcoscypha",""
"Sayornis","Phoebe"
"Scapanus","Western Moles"
"Scathophaga",""
"Sceloporus","Spiny lizards"
"Sceptridium",""
"Schoenoplectus","Bulrush"
"Scirpus","Sedges"
"Sciurus","Tree squirrels"
"Scoliopus","fetid adderstongue"
"Scrophularia","Figwort"
"Scutellinia",""
"Sedum","Stonecrop"
"Selasphorus",""
"Senecio","groundsel"
"Sequoia","Coast Redwood"
"Setophaga",""
"Sialia","Bluebird"
"Sidalcea","checkerbloom"
"Silene",""
"Siliqua",""
"Silybum","Milk thistle"
"Sisyrinchium","blue-eyed grass"
"Sitta","Nuthatch"
"Smerinthus",""
"Solanum","Nightshades"
"Solidago","goldenrod"
"Sonchus","Sowthistle"
"Sparassis",""
"Sparaxis","wandflower"
"Sparganium","Bur-reed"
"Spergularia","sand spurry"
"Speyeria",""
"Sphyrapicus","Sapsuckers"
"Spinus","Siskins"
"Spiza",""
"Spizella",""
"Stachys","Heal-all, Self-heal, Woundwort, Betony, Lamb's ears, Hedgenettle"
"Stelgidopteryx",""
"Stellaria","chickweed, stitchwort, starwort"
"Stereum",""
"Sticta","Spotted felt lichens, &#160; Moon lichens, &#160; Crater lichens"
"Streptopelia",""
"Strix","Wood Owls"
"Stropharia",""
"Strymon",""
"Sturnella","Meadowlark"
"Sturnus","Starlings"
"Suillus",""
"Sula","Booby"
"Sylvilagus","Cottontail rabbits"
"Sympetrum",""
"Symphoricarpos","Snowberry, Waxberry"
"Symphyotrichum","aster"
"Tachycineta",""
"Tamias","Chipmunks"
"Taraxia",""
"Taricha","Western North American newts"
"Taxidea",""
"Tegula",""
"Tellima","fringe cup"
"Teloschistes","Orange bush lichens, &#160; Teloschistes lichens"
"Tetragonia",""
"Thalasseus",""
"Thalictrum","Meadow-rue"
"Thallophaga",""
"Thamnophis","Garter Snakes"
"Thanatophilus",""
"Thetys",""
"Thinopinus",""
"Thomomys","Smooth-toothed pocket gopher"
"Thryomanes",""
"Tillandsia","Airplants"
"Toxicodendron",""
"Toxicoscordion",""
"Tragopogon","salsify, goatsbeard"
"Trametes",""
"Tremella","Witch's butter"
"Trentepohlia",""
"Triakis",""
"Trichaptum",""
"Tricholoma",""
"Trientalis",""
"Trifolium","Clover"
"Triglochin","Arrowgrass"
"Trillium","wake-robin, birthroot"
"Tringa",""
"Triopha",""
"Triphysaria","Owl's Clovers"
"Trirhabda",""
"Triteleia","Triplet lily"
"Troglodytes",""
"Tropaeolum","Nasturtium"
"Tubaria",""
"Tubulifera",""
"Tuckermannopsis","Wrinkle-lichens, &#160; Ruffle-lichens, &#160; Tuckermanopsis lichens"
"Turdus","Thrush"
"Tursiops","Bottlenose Dolphin"
"Typha","Bulrush, Cattail"
"Tyrannus","Kingbirds; flycatchers"
"Tyromyces",""
"Tyto","Barn owls, Masked owls"
"Ulex","gorse"
"Umbellularia",""
"Uresiphita",""
"Uria",""
"Urocyon",""
"Urosalpinx",""
"Urtica","nettle"
"Usnea","Old Man's Beard, Beard Lichen, Treemoss, Oak moss"
"Vaccinium","Blueberries"
"Vanessa",""
"Velella",""
"Verbascum","Mullein"
"Veronica","Speedwell, Bird's eye, Gypsyweed"
"Vicia","Vetches"
"Vinca","periwinkle"
"Viola",""
"Vireo","Vireo"
"Watersipora",""
"Woodwardia",""
"Wyethia",""
"Xanthochilus",""
"Xanthoria","Sunburst lichens, &#160; Orange lichens, &#160; Orange wall lichens"
"Xerocomellus",""
"Xylaria",""
"Zalophus","Sea Lion"
"Zenaida","Zenaida doves"
"Zerene",""
"Zonotrichia",""
"Zostera","Marine eelgrass, Eelgrass"
