"scientificFamily","commonFamily"
"Turdidae","thrushes and relatives"
"Cisticolidae","cisticolas and relatives"
"Sylviidae","true warblers"
"Stenostiridae","fairy warblers"
"Macrosphenidae","African warblers"
"Cettiidae","bush warblers"
"Phylloscopidae","leaf warblers"
"Megaluridae","grass warblers"
"Acrocephalidae","marsh warblers"
"Bernieridae","Malagasy warblers"
"Pnoepygidae","pygmy wren-babblers"
"Polioptilidae","gnatcatchers"
"Muscicapidae","flycatchers and relatives"
"Platysteiridae","wattle-eyes and batises"
"Petroicidae","Australasian robins"
"Pachycephalidae","whistlers and relatives"
"shrike-thrush|Colluricinclidae","shrike-thrushes and relatives"
"Picathartidae","rockfowl"
"Chaetopidae","rock-jumpers"
"Timaliidae","babblers and relatives"
"Panuridae","bearded reedling"
"Nicatoridae","nicators"
"Pomatostomidae","Australasian babblers"
"Orthonychidae","logrunners"
"Cinclosomatidae","whipbirds and quail-thrushes"
"Aegithalidae","bushtits"
"Maluridae","Australasian wrens"
"Neosittidae","sittellas"
"Climacteridae","Australasian treecreepers"
"Paridae","chickadees and true tits"
"Sittidae","nuthatches"
"Tichodromidae","wallcreeper"
"Certhiidae","treecreepers"
"Rhabdornithidae","Philippine creepers"
"Remizidae","penduline tits"
"Nectariniidae","sunbirds"
"Melanocharitidae","berrypeckers"
"Paramythiidae","painted berrypeckers"
"Dicaeidae","flowerpeckers"
"Dasyornithidae","bristlebirds"
"Pardalotidae","pardalotes"
"Acanthizidae","Australasian warblers"
"Zosteropidae","white-eyes"
"Promeropidae","sugarbirds"
"Meliphagidae","honeyeaters and relatives"
"Notiomystidae","stitchbird"
"Oriolidae","Old World orioles"
"Irenidae","fairy-bluebirds"
"Laniidae","shrikes"
"Malaconotidae","bushshrikes and relatives"
"Prionopidae","helmetshrikes and relatives"
"Vangidae","vangas"
"Dicruridae","drongos"
"Rhipiduridae","fantails"
"Monarchidae","monarch flycatchers"
"Callaeidae","wattlebirds"
"Corcoracidae","mudnesters"
"Artamidae","woodswallows and butcherbirds"
"Pityriaseidae","bristlehead"
"Paradisaeidae","birds-of-paradise"
"Cnemophilidae","satinbirds"
"Ptilonorhynchidae","bowerbirds"
"Corvidae","jays and crows"
"Sturnidae","starlings and mynas"
"Buphagidae","oxpeckers"
"Passeridae","Old World sparrows"
"Ploceidae","weavers and relatives"
"Estrildidae","weaver finches"
"Viduidae","whydahs and indigobirds"
"Vireonidae","vireos and relatives"
"Fringillidae","finches and relatives"
"Urocynchramidae","pink-tailed bunting"
"Peucedramidae","olive warbler"
"Parulidae","wood warblers"
"Coerebidae","bananaquit"
"Thraupidae","tanagers and relatives"
"Emberizidae","Old World buntings and New World sparrows"
"Cardinalidae","cardinals, grosbeaks, and New World buntings"
"Icteridae","New World blackbirds and New World orioles"
