"speciesFixed","total_obs","user_obs","kingdom","phylum","class","order","family","genus","category","inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","Category"
"Achillea millefolium",26,17,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","Plant",52821,1,1,1,1,4,5,7,1,3,0,1,1,0,1,0,0,0,1,2,1,5,14,2,"common yarrow, Yarrow","Present","Plant"
"Acipenser medirostris",NA,NA,"Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"green sturgeon","Present","Fish"
"Acmispon americanus",3,3,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Plant",57053,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,NA,NA,NA
"Acmispon brachycarpus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Plant",57047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"short-pod lotus","Present","Plant"
"Acmispon glaber",2,2,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Plant",53134,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"deerweed","Present","Plant"
"Acmispon heermannii",2,2,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Plant",80313,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Heermann's bird's-foot trefoil","Present","Plant"
"Acmispon junceus",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rush lotus","Present","Plant"
"Acmispon parviflorus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Plant",57048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tiny lotus","Present","Plant"
"Acmispon strigosus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Plant",75281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strigose lotus","Present","Plant"
"Acmispon wrangelianus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Plant",57050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilean bird's-foot trefoil","Present","Plant"
"Acroneuria",NA,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria","Invertebrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Invertebrate"
"Acronicta spinea",1,1,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Invertebrate",349742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Actinemys marmorata",2,2,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys","Herp",73592,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Northern Western Pond Turtle, Pacific Pond Turtle, Western Pond Turtle","Present","Herp"
"Actitis macularia",NA,NA,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spotted Sandpiper","Present","Bird"
"Adenocaulon bicolor",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Adenocaulon","Plant",56854,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"American trailplant, Trail Marker","Present","Plant"
"Adenostoma fasciculatum",2,2,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Adenostoma","Plant",47146,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Chamise","Probably Present","Plant"
"Adiantum aleuticum",5,5,"Plantae","Pteridophyta","Filicopsida","Polypodiales","Pteridaceae","Adiantum","Plant",52667,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,"Five-finger Fern","Present","Plant"
"Adiantum jordanii",NA,NA,"Plantae","Pteridophyta","Filicopsida","Polypodiales","Pteridaceae","Adiantum","Plant",56032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Maiden-hair, California maidenhair fern","Present","Plant"
"Aechmophorus clarkii",NA,NA,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Bird",4234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clark's Grebe","Present","Bird"
"Aechmophorus occidentalis",2,2,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Bird",4235,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Western Grebe","Present","Bird"
"Aegolius acadicus",NA,NA,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Bird",20356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Saw-whet Owl","Present","Bird"
"Aeronautes saxatalis",NA,NA,"Animalia","Chordata","Aves","Caprimulgiformes","Apodidae","Aeronautes","Bird",6553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White-throated Swift","Present","Bird"
"Aesculus californica",5,5,"Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Plant",53348,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,"California Buckeye","Present","Plant"
"Aethia cristatella",NA,NA,"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Aethia","Bird",4542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crested Auklet","Present","Bird"
"Aethia psittacula",NA,NA,"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Aethia","Bird",4543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parakeet auklet","Unconfirmed","Bird"
"Agapetus",NA,NA,"Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus","Invertebrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Invertebrate"
"Agaricus augustus",1,1,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Fungi",49547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Agaricus xanthodermus",2,2,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Fungi",411041,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA
"Agave americana",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Plant",64103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Century Plant","Present","Plant"
"Agelaius phoeniceus",5,4,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Bird",9744,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,"Red-winged Blackbird","Present","Bird"
"Agelaius tricolor",1,1,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Bird",9743,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Tricolored Blackbird","Present","Bird"
"Agoseris apargioides",12,10,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris","Plant",58801,0,0,2,0,4,3,1,1,0,0,1,0,0,0,1,0,0,2,0,3,2,4,0,"Seaside Dandelion, woolly goat chicory","Present","Plant"
"Agoseris grandiflora",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris","Plant",52828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bigflower agoseris, California Dandelion","Present","Plant"
"Agoseris heterophylla",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris","Plant",56856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"annual agoseris, Annual Dandelion","Unconfirmed","Plant"
"Agrostis avenacea",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",60273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vernal Wetland Bent Grass","Present","Plant"
"Agrostis blasdalei",NA,NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blasdale bentgrass","Present","Plant"
"Agrostis capillaris",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",75312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colonial Bent","Present","Plant"
"Agrostis densiflora",1,1,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",61059,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Coastal Bent Grass","Probably Present","Plant"
"Agrostis exarata",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",59088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Bent Grass","Present","Plant"
"Agrostis hallii",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",57155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hall's Bent Grass","Present","Plant"
"Agrostis microphylla",NA,NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point Reyes bentgrass, Small-leaved Bent Grass","Present","Plant"
"Agrostis pallens",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",52692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seashore Bent Grass, seashore bentgrass","Present","Plant"
"Agrostis stolonifera",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis","Plant",69931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Creeping Bent","Present","Plant"
"Ahnfeltiopsis linearis",1,1,"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Ahnfeltiopsis","Plant",339044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Aimophila ruficeps",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Aimophila","Bird",9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rufous-crowned Sparrow","Present","Bird"
"Aira caryophyllea",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Aira","Plant",52694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silver European Hairgrass, silver hairgrass","Present","Plant"
"Aira praecox",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Aira","Plant",61058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"annual hairgrass, Early Hairgrass, yellow hairgrass","Present","Plant"
"Aix sponsa",3,3,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix","Bird",7107,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,"Wood Duck","Present","Bird"
"Akephorus obesus",1,1,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Akephorus","Invertebrate",212918,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Alaria nana",NA,NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria","Microbe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Microbe"
"Alauda arvensis",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Bird",7347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eurasian Skylark","Present","Bird"
"Albizia lophantha",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Paraserianthes","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plume Acacia","Probably Present","Plant"
"Aldisa sanguinea",1,1,"Animalia","Mollusca","Gastropoda","Nudibranchia","Cadlinidae","Aldisa","Invertebrate",50098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Aleuria aurantia",1,1,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria","Fungi",48716,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"Alisma lanceolatum",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Alismatales","Alismataceae","Alisma","Plant",71065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lanceleaf water plantain","Present","Plant"
"Alisma triviale",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Alismatales","Alismataceae","Alisma","Plant",61167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"northern water plantain, northern water-plantain","Present","Plant"
"Alliaria petiolata",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Alliaria","Plant",56061,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Allium dichlamydeum",1,1,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Alliaceae","Allium","Plant",57124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Coast Onion","Present","Plant"
"Allium serra",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Alliaceae","Allium","Plant",59784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jeweled onion","Unconfirmed","Plant"
"Allium triquetrum",1,1,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Alliaceae","Allium","Plant",55505,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"European Onion","Unconfirmed","Plant"
"Allium unifolium",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Alliaceae","Allium","Plant",59781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One-leaved Onion","Unconfirmed","Plant"
"Alloniscus perconvexus",3,3,"Animalia","Arthropoda","Malacostraca","Isopoda","Alloniscidae","Alloniscus","Invertebrate",261215,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,NA
"Alloperla",NA,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla","Invertebrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Invertebrate"
"Alnus rhombifolia",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Plant",53351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rhombie leaf alder, white alder","Unconfirmed","Plant"
"Alnus rubra",6,5,"Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Plant",56034,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,5,0,"Red Alder","Present","Plant"
"Alopecurus aequalis",NA,NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Alopecurus","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonoma Alopecurus, Sonoma shortawn foxtail","Present","Plant"
"Alopecurus geniculatus",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Alopecurus","Plant",71140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water foxtail","Present","Plant"
"Alopecurus pratensis",1,1,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Alopecurus","Plant",71141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Meadow Foxtail","Present","Plant"
"Amanita augusta",12,6,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",348830,3,1,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,9,2,NA,NA,NA
"Amanita gemmata",3,3,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",58691,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA
"Amanita magniverrucata",2,2,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",54359,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA
"Amanita muscaria",18,10,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",48715,6,0,0,1,0,1,0,0,0,0,4,6,1,0,0,1,0,2,1,4,0,9,0,NA,NA,NA
"Amanita novinupta",5,4,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",57691,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,NA,NA,NA
"Amanita pachycolea",2,2,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",67357,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA
"Amanita phalloides",7,4,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",52135,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,6,0,NA,NA,NA
"Amanita smithiana",1,1,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",62485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Amanita velosa",2,2,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Fungi",51314,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA
"Amaranthus blitoides",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Plant",58774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amaranth","Present","Plant"
"Amaranthus deflexus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Plant",75393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amaranth","Present","Plant"
"Amaryllis belladonna",6,6,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Amaryllidaceae","Amaryllis","Plant",61827,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,1,0,0,2,2,0,"belladonna lily","Present","Plant"
"Ambrosia chamissonis",11,7,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Plant",71135,1,0,0,0,1,3,2,4,0,0,0,0,0,0,0,0,1,0,2,2,5,0,1,"Beach-bur","Present","Plant"
"Amelanchier utahensis",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Plant",61099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Utah Service-berry","Present","Plant"
"Ammodramus leconteii",3,3,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Ammodramus","Bird",10133,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,NA,NA,NA
"Ammodramus nelsoni",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Ammodramus","Bird",10138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nelson's Sharp-tailed Sparrow, Nelson's Sparrow","Present","Bird"
"Ammodramus savannarum",3,2,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Ammodramus","Bird",10139,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,"Grasshopper Sparrow","Present","Bird"
"Ammophila arenaria",2,2,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Ammophila","Plant",61055,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"European Beachgrass","Present","Plant"
