"decimalLongitude","decimalLatitude","id","recordedBy","userNumber","eventDate","eventTime","dateIdentified","verbatimLocality","coordinateUncertaintyInMeters","informationWithheld","identificationID","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","year","month","hour","PARK_CODE","PARK_NAME","PARK_TYPE","IN_PARK","speciesFixed","category"
-122.9150924683,38.1629562378,2989,"Ken-ichi Ueda",1,2009-06-28,"18:44:00Z",2009-06-29,"Lairds Landing, California, United States",NA,"",3137,49864,"Phyllaplysia taylori","species","Animalia","Mollusca","Gastropoda","Anaspidea","Notarchidae","Phyllaplysia",2009,6,18,"PORE","Point Reyes","National Seashore",TRUE,"Phyllaplysia taylori","Invertebrate"
-122.9150924683,38.1629562378,2990,"Ken-ichi Ueda",1,2009-06-28,"18:28:00Z",2009-06-29,"Lairds Landing, California, United States",NA,"",3138,48479,"Chrysaora fuscescens","species","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora",2009,6,18,"PORE","Point Reyes","National Seashore",TRUE,"Chrysaora fuscescens","Invertebrate"
-122.9130020142,38.1604804993,2991,"Ken-ichi Ueda",1,2009-06-28,"19:14:00Z",2013-05-30,"Lairds Landing, California, United States",NA,"",458416,202315,"Romaleon antennarium","species","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Romaleon",2009,6,19,"PORE","Point Reyes","National Seashore",TRUE,"Romaleon antennarium","Invertebrate"
-122.9130020142,38.1604804993,2993,"Ken-ichi Ueda",1,2009-06-28,"16:48:00Z",2017-02-14,"Lairds Landing, California, United States",NA,"",10417611,508884,"Diaulula sandiegensis","species","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Diaulula",2009,6,16,"PORE","Point Reyes","National Seashore",TRUE,"Diaulula sandiegensis","Invertebrate"
-122.95652771,38.1182670593,3189,"Ken-ichi Ueda",1,2009-08-16,"00:31:00Z",2009-08-19,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",3352,52620,"Cicindela oregona","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela",2009,8,0,"PORE","Point Reyes","National Seashore",TRUE,"Cicindela oregona","Invertebrate"
-122.9511642456,38.1192932129,3190,"Ken-ichi Ueda",1,2009-08-16,"23:07:00Z",2009-08-17,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",3353,52618,"Abronia latifolia","species","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",2009,8,23,"PORE","Point Reyes","National Seashore",TRUE,"Abronia latifolia","Plant"
-122.9360310428,38.132844704,3191,"Ken-ichi Ueda",1,2009-08-16,"18:11:00Z",2009-08-17,"California, US",28285,"Coordinate uncertainty increased to 28285m to protect threatened taxon",3354,132362,"Piperia elegans","species","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Piperia",2009,8,18,"PORE","Point Reyes","National Seashore",TRUE,"Piperia elegans","Plant"
-122.9579772949,38.1193008423,3195,"Ken-ichi Ueda",1,2009-08-16,"23:39:00Z",2009-08-19,"Abbotts Lagoon, Point Reyes National Seashore, Marin County, CA, USA",NA,"",3358,41740,"Zalophus californianus","species","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Zalophus",2009,8,23,"PORE","Point Reyes","National Seashore",TRUE,"Zalophus californianus","Mammal"
-122.9535751343,38.1187362671,3197,"Ken-ichi Ueda",1,2009-08-16,"23:26:00Z",2016-03-26,"Abbotts Lagoon, Point Reyes National Seashore, Marin County, CA, USA",NA,"",5515658,210448,"Microtes occidentalis","species","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Microtes",2009,8,23,"PORE","Point Reyes","National Seashore",TRUE,"Microtes occidentalis","Invertebrate"
-122.9527130127,38.1194915771,3198,"Ken-ichi Ueda",1,2009-08-16,"23:14:00Z",2011-02-20,"Abbotts Lagoon, Point Reyes National Seashore, Marin County, CA, USA",NA,"",3361,58058,"Heliotropium curassavicum","species","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Heliotropium",2009,8,23,"PORE","Point Reyes","National Seashore",TRUE,"Heliotropium curassavicum","Plant"
-122.9381713867,38.1234474182,3200,"Ken-ichi Ueda",1,2009-08-16,"22:31:00Z",2009-08-19,"Abbotts Lagoon, Point Reyes National Seashore, Marin County, CA, USA",NA,"",3363,52621,"Cirsium occidentale","species","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium",2009,8,22,"PORE","Point Reyes","National Seashore",TRUE,"Cirsium occidentale","Plant"
-122.8671875,38.0454368591,3865,"Ken-ichi Ueda",1,2009-12-06,"19:41:00Z",2009-12-07,"Point Reyes Station, California, United States",NA,"",4121,41976,"Lynx rufus","species","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx",2009,12,19,"PORE","Point Reyes","National Seashore",TRUE,"Lynx rufus","Mammal"
-122.7606430054,37.9990692139,4006,"Ken-ichi Ueda",1,2007-01-20,"18:02:00Z",2009-12-30,"Five Brooks, California, United States",NA,"",4265,54893,"Laccaria amethysteo-occidentalis","species","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",2007,1,18,"PORE","Point Reyes","National Seashore",TRUE,"Laccaria amethysteo-occidentalis","Fungi"
-122.977722168,37.9959144592,4492,"Ken-ichi Ueda",1,2010-01-23,"21:28:00Z",2010-01-25,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",4749,41728,"Mirounga angustirostris","species","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga",2010,1,21,"PORE","Point Reyes","National Seashore",TRUE,"Mirounga angustirostris","Mammal"
-122.9617156982,38.0274009705,4493,"Ken-ichi Ueda",1,2010-01-23,"20:24:00Z",2010-01-25,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",4750,41728,"Mirounga angustirostris","species","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga",2010,1,20,"PORE","Point Reyes","National Seashore",TRUE,"Mirounga angustirostris","Mammal"
-122.9721450806,38.0454216003,4494,"Ken-ichi Ueda",1,2010-01-23,"19:58:00Z",2016-10-03,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",8342262,42206,"Cervus elaphus","species","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus",2010,1,19,"PORE","Point Reyes","National Seashore",TRUE,"Cervus elaphus","Mammal"
-122.7995147705,38.0413665771,4533,"Ken-ichi Ueda",1,2010-01-23,"",2010-01-27,"Bear Valley Visitor's Center, Point Reyes, CA, USA",NA,"",4792,14816,"Sitta pygmaea","species","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta",2010,1,NA,"PORE","Point Reyes","National Seashore",TRUE,"Sitta pygmaea","Bird"
-122.9194564819,38.0598144531,8013,"Ken-ichi Ueda",1,2010-08-07,"01:54:00Z",2010-08-09,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",8482,61827,"Amaryllis belladonna","species","Plantae","Magnoliophyta","Liliopsida","Asparagales","Amaryllidaceae","Amaryllis",2010,8,1,"PORE","Point Reyes","National Seashore",TRUE,"Amaryllis belladonna","Plant"
-122.9138870239,38.0336112976,8014,"Ken-ichi Ueda",1,2010-08-07,"00:41:00Z",2010-08-09,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",8483,51491,"Myliobatis californica","species","Animalia","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis",2010,8,0,"PORE","Point Reyes","National Seashore",TRUE,"Myliobatis californica","Fish"
-122.9138565063,38.0336608887,8015,"Ken-ichi Ueda",1,2010-08-07,"00:35:00Z",2010-08-09,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",8484,52297,"Triakis semifasciata","species","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis",2010,8,0,"PORE","Point Reyes","National Seashore",TRUE,"Triakis semifasciata","Fish"
-122.9200668335,38.0624504089,8016,"Ken-ichi Ueda",1,2010-08-07,"23:01:00Z",2010-08-09,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",8485,53157,"Navarretia squarrosa","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Navarretia",2010,8,23,"PORE","Point Reyes","National Seashore",TRUE,"Navarretia squarrosa","Plant"
-122.9189071655,38.0638008118,8018,"Ken-ichi Ueda",1,2010-08-07,"22:56:00Z",2010-08-09,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",8487,57116,"Mentha pulegium","species","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",2010,8,22,"PORE","Point Reyes","National Seashore",TRUE,"Mentha pulegium","Plant"
-122.9492034912,38.179977417,8907,"Scott Loarie",7,2010-11-13,"",2015-07-10,"",NA,"",3264625,117767,"Cervus elaphus nannodes","subspecies","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus",2010,11,NA,"PORE","Point Reyes","National Seashore",TRUE,"Cervus elaphus","Mammal"
-122.9376983643,38.1642570496,8908,"Scott Loarie",7,2010-11-13,"",2010-11-17,"",NA,"",9435,8010,"Corvus corax","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",2010,11,NA,"PORE","Point Reyes","National Seashore",TRUE,"Corvus corax","Bird"
-122.9335784912,38.124835968,8909,"Scott Loarie",7,2010-11-13,"",2010-11-17,"",NA,"",9436,5212,"Buteo jamaicensis","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo",2010,11,NA,"PORE","Point Reyes","National Seashore",TRUE,"Buteo jamaicensis","Bird"
-122.91847229,38.0704612732,8910,"Scott Loarie",7,2010-11-13,"",2010-11-17,"",NA,"",9437,48715,"Amanita muscaria","species","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",2010,11,NA,"PORE","Point Reyes","National Seashore",TRUE,"Amanita muscaria","Fungi"
-122.8658591,38.0705092,10188,"msr",11,2008-07-07,"",2011-01-21,"Point Reyes National Seashore, California",NA,"",10852,4756,"Cathartes aura","species","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes",2008,7,NA,"PORE","Point Reyes","National Seashore",TRUE,"Cathartes aura","Bird"
-122.8658591,38.0705092,10193,"msr",11,2008-07-07,"",2011-01-21,"Point Reyes National Seashore, California",10000,"",10878,5170,"Circus cyaneus","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus",2008,7,NA,"PORE","Point Reyes","National Seashore",TRUE,"Circus cyaneus","Bird"
-122.9969423,38.0013176,10226,"msr",11,2008-07-07,"",2013-01-08,"Point Reyes, California",NA,"",268395,144537,"Hydroprogne caspia","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne",2008,7,NA,"PORE","Point Reyes","National Seashore",TRUE,"Hydroprogne caspia","Bird"
-122.9969423,38.0013176,10303,"msr",11,2008-07-07,"",2011-01-23,"Point Reyes, California",NA,"",10995,11931,"Tachycineta thalassina","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta",2008,7,NA,"PORE","Point Reyes","National Seashore",TRUE,"Tachycineta thalassina","Bird"
-122.9532659054,38.1190982466,11424,"Eric Hunt",15,2009-07-11,"19:15:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12428,52618,"Abronia latifolia","species","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",2009,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Abronia latifolia","Plant"
-122.9455277324,38.1185470673,11425,"Eric Hunt",15,2010-07-11,"16:54:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12429,52833,"Anaphalis margaritacea","species","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Anaphalis",2010,7,16,"PORE","Point Reyes","National Seashore",TRUE,"Anaphalis margaritacea","Plant"
-122.9513561726,38.1177646055,11426,"Eric Hunt",15,2010-07-11,"19:12:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12430,51889,"Dudleya farinosa","species","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Dudleya",2010,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Dudleya farinosa","Plant"
-122.9437091947,38.1188509338,11427,"Eric Hunt",15,2010-07-11,"16:30:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12431,58188,"Mentha arvensis","species","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",2010,7,16,"PORE","Point Reyes","National Seashore",TRUE,"Mentha arvensis","Plant"
-122.9513776302,38.1195709237,11428,"Eric Hunt",15,2009-07-11,"19:55:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12432,62216,"Potentilla anserina","species","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla",2009,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Potentilla anserina","Plant"
-122.9493874311,38.1186323189,11429,"Eric Hunt",15,2010-07-11,"17:29:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12433,4756,"Cathartes aura","species","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes",2010,7,17,"PORE","Point Reyes","National Seashore",TRUE,"Cathartes aura","Bird"
-122.951259,38.119297,11430,"Eric Hunt",15,2009-07-11,"19:20:00Z",2011-02-19,"Sacramento Landing, California, United States",NA,"",12434,58801,"Agoseris apargioides","species","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",2009,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Agoseris apargioides","Plant"
-122.9493498802,38.1183689672,11431,"Eric Hunt",15,2009-07-11,"18:05:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12435,67805,"Gentiana affinis","species","Plantae","Magnoliophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentiana",2009,7,18,"PORE","Point Reyes","National Seashore",TRUE,"Gentiana affinis","Plant"
-122.9369688034,38.1234838971,11433,"Eric Hunt",15,2009-07-11,"16:18:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12437,52621,"Cirsium occidentale","species","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium",2009,7,16,"PORE","Point Reyes","National Seashore",TRUE,"Cirsium occidentale","Plant"
-122.9440069199,38.1187234788,11434,"Eric Hunt",15,2010-07-11,"16:28:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12438,52625,"Stachys chamissonis","species","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Stachys",2010,7,16,"PORE","Point Reyes","National Seashore",TRUE,"Stachys chamissonis","Plant"
-122.9531478882,38.1185040194,11437,"Eric Hunt",15,2009-07-11,"19:58:00Z",2011-02-19,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12441,61992,"Grindelia stricta","species","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Grindelia",2009,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Grindelia stricta","Plant"
-122.946023941,38.1187403603,11443,"Eric Hunt",15,2009-07-11,"19:01:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12456,61737,"Horkelia californica","species","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Horkelia",2009,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Horkelia californica","Plant"
-122.9517316818,38.119381853,11445,"Eric Hunt",15,2009-07-11,"19:35:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12458,57197,"Polypogon monspeliensis","species","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Polypogon",2009,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Polypogon monspeliensis","Plant"
-122.9461151361,38.1187504893,11446,"Eric Hunt",15,2010-07-17,"17:43:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12459,61737,"Horkelia californica","species","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Horkelia",2010,7,17,"PORE","Point Reyes","National Seashore",TRUE,"Horkelia californica","Plant"
-122.9512542486,38.119316016,11447,"Eric Hunt",15,2010-07-11,"18:44:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12460,60952,"Artemisia pycnocephala","species","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia",2010,7,18,"PORE","Point Reyes","National Seashore",TRUE,"Artemisia pycnocephala","Plant"
-122.9515063763,38.1192636837,11449,"Eric Hunt",15,2009-07-11,"19:31:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12462,58058,"Heliotropium curassavicum","species","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Heliotropium",2009,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Heliotropium curassavicum","Plant"
-122.9486471415,38.1189699479,11450,"Eric Hunt",15,2009-07-11,"17:32:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12463,52181,"Monardella villosa","species","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella",2009,7,17,"PORE","Point Reyes","National Seashore",TRUE,"Monardella villosa","Plant"
-122.9507285357,38.1186998449,11451,"Eric Hunt",15,2009-07-11,"17:49:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12464,50042,"Castilleja affinis","species","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",2009,7,17,"PORE","Point Reyes","National Seashore",TRUE,"Castilleja affinis","Plant"
-122.9505354166,38.1187842522,11452,"Eric Hunt",15,2010-07-11,"16:08:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12465,49343,"Castilleja exserta","species","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",2010,7,16,"PORE","Point Reyes","National Seashore",TRUE,"Castilleja exserta","Plant"
-122.9386663601,38.044478625,11453,"Eric Hunt",15,2009-07-11,"17:46:00Z",2011-02-20,"California, US",28285,"Coordinate uncertainty increased to 28285m to protect threatened taxon",12466,132362,"Piperia elegans","species","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Piperia",2009,7,17,"PORE","Point Reyes","National Seashore",TRUE,"Piperia elegans","Plant"
-122.9505890608,38.1186238782,11454,"Eric Hunt",15,2010-07-11,"18:20:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12467,60738,"Castilleja ambigua","species","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",2010,7,18,"PORE","Point Reyes","National Seashore",TRUE,"Castilleja ambigua","Plant"
-122.945895195,38.11862219,11455,"Eric Hunt",15,2009-07-11,"17:30:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12468,52183,"Monardella villosa franciscana","subspecies","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella",2009,7,17,"PORE","Point Reyes","National Seashore",TRUE,"Monardella villosa","Plant"
-122.9507392645,38.1186745227,11456,"Eric Hunt",15,2010-07-17,"19:48:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12469,53359,"Baccharis pilularis","species","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis",2010,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Baccharis pilularis","Plant"
-122.9489636421,38.1182575493,11457,"Eric Hunt",15,2009-07-11,"18:52:00Z",2011-02-20,"Abbott's Lagoon, Pt. Reyes National Seashore, Marin County, California",NA,"",12470,51085,"Triteleia laxa","species","Plantae","Magnoliophyta","Liliopsida","Asparagales","Themidaceae","Triteleia",2009,7,18,"PORE","Point Reyes","National Seashore",TRUE,"Triteleia laxa","Plant"
