"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","original.inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","speciesTidy","matched.inat.ID","taxizeName","scrapediNatName"
"Accipiter striatus","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",1,1,5097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Sharp-shinned Hawk","Present","Accipiter striatus","5097",NA,NA
"Acer macrophyllum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bigleaf maple, Big-leaf Maple","Present","Acer macrophyllum","48227",NA,NA
"Acer negundo","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Box Elder, box elder","Present","Acer negundo","47726",NA,NA
"Achillea millefolium","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Achillea",27,17,52821,1,1,2,1,4,5,7,1,3,0,1,1,0,1,0,0,0,1,2,1,5,14,3,"common yarrow, Yarrow","Present","Achillea millefolium","52821",NA,NA
"Acipenser medirostris","Fish","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"green sturgeon","Present","Acipenser medirostris","93183","Acipenser medirostris","Acipenser medirostris"
"Acmispon americanus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",3,3,57053,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,"Spanish Clover","Present","Lotus purshianus","57049","Acmispon americanus",NA
"Acmispon brachycarpus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"short-pod lotus","Present","Acmispon brachycarpus","57047",NA,NA
"Acmispon glaber","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,53134,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"deerweed","Present","Acmispon glaber","53134",NA,NA
"Acmispon heermannii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,80313,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Heermann's bird's-foot trefoil","Present","Acmispon heermannii","75273",NA,NA
"Acmispon junceus","Plant","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rush lotus","Present","Acmispon junceus","75274","Acmispon junceus","Acmispon junceus"
"Acmispon parviflorus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tiny lotus","Present","Acmispon parviflorus","57048",NA,NA
"Acmispon strigosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strigose lotus","Present","Acmispon strigosus","75281",NA,NA
"Acmispon wrangelianus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilean bird's-foot trefoil","Present","Acmispon wrangelianus","57050",NA,NA
"Acroneuria","Invertebrate","Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Acroneuria","172733","Acroneuria","Acroneuria"
"Acronicta spinea","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta",1,1,349742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Actinemys marmorata","Herp","Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys",2,2,73592,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Northern Western Pond Turtle, Pacific Pond Turtle, Western Pond Turtle","Present","Actinemys marmorata","73592",NA,NA
"Actitis macularius","Bird","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spotted Sandpiper","Present","Actitis macularia","72458","Actitis macularius",NA
"Adenocaulon bicolor","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Adenocaulon",1,1,56854,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"American trailplant, Trail Marker","Present","Adenocaulon bicolor","56854",NA,NA
"Adenostoma fasciculatum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Adenostoma",2,2,47146,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Chamise","Probably Present","Adenostoma fasciculatum","47146",NA,NA
"Adiantum aleuticum","Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Pteridaceae","Adiantum",5,5,52667,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,"Five-finger Fern","Present","Adiantum aleuticum","52667",NA,NA
"Adiantum jordanii","Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Pteridaceae","Adiantum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Maiden-hair, California maidenhair fern","Present","Adiantum jordanii","56032",NA,NA
"Aechmophorus clarkii","Bird","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clark's Grebe","Present","Aechmophorus clarkii","4234",NA,NA
"Aechmophorus occidentalis","Bird","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus",2,2,4235,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Western Grebe","Present","Aechmophorus occidentalis","4235",NA,NA
"Aegolius acadicus","Bird","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Saw-whet Owl","Present","Aegolius acadicus","20356",NA,NA
"Aeronautes saxatalis","Bird","Animalia","Chordata","Aves","Caprimulgiformes","Apodidae","Aeronautes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White-throated Swift","Present","Aeronautes saxatalis","6553",NA,NA
"Aesculus californica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus",5,5,53348,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,"California Buckeye","Present","Aesculus californica","53348",NA,NA
"Aethia cristatella","Bird","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Aethia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crested Auklet","Present","Aethia cristatella","4542",NA,NA
"Aethia psittacula","Bird","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Aethia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parakeet auklet","Unconfirmed","Aethia psittacula","4543",NA,NA
"Agapetus","Invertebrate","Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Agapetus","172802","Agapetus","Agapetus"
"Agaricus augustus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",1,1,49547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Agaricus xanthodermus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",2,2,411041,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Agave americana","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Agave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Century Plant","Present","Agave americana","64103",NA,NA
"Agelaius phoeniceus","Bird","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius",5,4,9744,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,"Red-winged Blackbird","Present","Agelaius phoeniceus","9744",NA,NA
"Agelaius tricolor","Bird","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius",1,1,9743,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Tricolored Blackbird","Present","Agelaius tricolor","9743",NA,NA
"Agoseris apargioides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",12,10,58801,0,0,2,0,4,3,1,1,0,0,1,0,0,0,1,0,0,2,0,3,2,4,0,"Seaside Dandelion, woolly goat chicory","Present","Agoseris apargioides","58801",NA,NA
"Agoseris grandiflora","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bigflower agoseris, California Dandelion","Present","Agoseris grandiflora","52828",NA,NA
"Agoseris heterophylla","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"annual agoseris, Annual Dandelion","Unconfirmed","Agoseris heterophylla","56856",NA,NA
"Agrostis avenacea","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vernal Wetland Bent Grass","Present","Agrostis avenacea","60273",NA,NA
"Agrostis blasdalei","Plant","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blasdale bentgrass","Present","Agrostis blasdalei","75311","Agrostis blasdalei","Agrostis blasdalei"
"Agrostis capillaris","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colonial Bent","Present","Agrostis capillaris","75312",NA,NA
"Agrostis densiflora","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",1,1,61059,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Coastal Bent Grass","Probably Present","Agrostis densiflora","61059",NA,NA
"Agrostis exarata","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Bent Grass","Present","Agrostis exarata","59088",NA,NA
"Agrostis hallii","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hall's Bent Grass","Present","Agrostis hallii","57155",NA,NA
"Agrostis microphylla","Plant","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point Reyes bentgrass, Small-leaved Bent Grass","Present","Agrostis microphylla","60277","Agrostis microphylla","Agrostis microphylla"
"Agrostis pallens","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seashore Bent Grass, seashore bentgrass","Present","Agrostis pallens","52692",NA,NA
"Agrostis stolonifera","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Creeping Bent","Present","Agrostis stolonifera","69931",NA,NA
"Ahnfeltiopsis linearis","Plant","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Ahnfeltiopsis",1,1,339044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Aimophila ruficeps","Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Aimophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rufous-crowned Sparrow","Present","Aimophila ruficeps","9958",NA,NA
"Aira caryophyllea","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Aira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silver European Hairgrass, silver hairgrass","Present","Aira caryophyllea","52694",NA,NA
"Aira praecox","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Aira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"annual hairgrass, Early Hairgrass, yellow hairgrass","Present","Aira praecox","61058",NA,NA
"Aix sponsa","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix",3,3,7107,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,"Wood Duck","Present","Aix sponsa","7107",NA,NA
"Akephorus obesus","Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Akephorus",1,1,212918,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Alaria marginata","Microbe","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Alaria nana","124814","Alaria marginata",NA
"Alauda arvensis","Bird","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eurasian Skylark","Present","Alauda arvensis","7347",NA,NA
"Aldisa sanguinea","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Cadlinidae","Aldisa",1,1,50098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Aleuria aurantia","Fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria",1,1,48716,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Alisma lanceolatum","Plant","Plantae","Magnoliophyta","Liliopsida","Alismatales","Alismataceae","Alisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lanceleaf water plantain","Present","Alisma lanceolatum","71065",NA,NA
"Alisma triviale","Plant","Plantae","Magnoliophyta","Liliopsida","Alismatales","Alismataceae","Alisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"northern water plantain, northern water-plantain","Present","Alisma triviale","61167",NA,NA
"Alliaria petiolata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Alliaria",1,1,56061,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Allium dichlamydeum","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Alliaceae","Allium",1,1,57124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Coast Onion","Present","Allium dichlamydeum","57124",NA,NA
"Allium serra","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Alliaceae","Allium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jeweled onion","Unconfirmed","Allium serra","59784",NA,NA
"Allium triquetrum","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Alliaceae","Allium",2,2,55505,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"European Onion","Unconfirmed","Allium triquetrum","55505",NA,NA
"Allium unifolium","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Alliaceae","Allium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One-leaved Onion","Unconfirmed","Allium unifolium","59781",NA,NA
"Alloniscus perconvexus","Invertebrate","Animalia","Arthropoda","Malacostraca","Isopoda","Alloniscidae","Alloniscus",3,3,261215,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA
"Alloperla","Invertebrate","Animalia","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Alloperla","86347","Alloperla","Alloperla"
"Alnus rhombifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Alnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rhombie leaf alder, white alder","Unconfirmed","Alnus rhombifolia","53351",NA,NA
"Alnus rubra","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Alnus",7,6,56034,0,0,0,1,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,6,0,"Red Alder","Present","Alnus rubra","56034",NA,NA
"Alopecurus aequalis","Plant","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Alopecurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonoma Alopecurus, Sonoma shortawn foxtail","Present","Alopecurus aequalis","75381","Alopecurus aequalis","Alopecurus aequalis"
"Alopecurus geniculatus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Alopecurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water foxtail","Present","Alopecurus geniculatus","71140",NA,NA
"Alopecurus pratensis","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Alopecurus",1,1,71141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Meadow Foxtail","Present","Alopecurus pratensis","71141",NA,NA
"Amanita augusta","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",12,6,348830,3,1,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,9,2,NA,NA,NA,NA,NA,NA
"Amanita gemmata","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",3,3,58691,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA
"Amanita magniverrucata","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",2,2,54359,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Amanita muscaria","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",20,12,48715,7,0,0,1,0,1,0,0,0,0,4,7,1,0,0,1,0,2,1,4,0,10,1,NA,NA,NA,NA,NA,NA
"Amanita novinupta","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",5,4,57691,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,NA,NA,NA,NA,NA,NA
"Amanita pachycolea","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",2,2,67357,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Amanita phalloides","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",7,4,52135,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,6,0,NA,NA,NA,NA,NA,NA
"Amanita smithiana","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",1,1,62485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Amanita velosa","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",2,2,51314,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
